Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.000477485810787,2010-08-31 13:30:15,30.000478102347387,1,1,0.0,3.689389228820801,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0,0,0
2,60.01565113398007,2010-08-31 13:30:45,60.01565174550419,1,1,0.0,3.689389228820801,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0,0,0
3,90.03098100650854,2010-08-31 13:31:15,90.03098159798267,1,1,0.0,3.689389228820801,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,120.01414656065889,2010-08-31 13:31:45,120.01414714210802,1,1,0.0,3.689389228820801,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,150.01469006321733,2010-08-31 13:32:15,30.000126145161783,2,1,0.5501165986061096,3.771465301513672,0.004584406742204,0.0,0.017253684277109,0.0,0.0003237724304199219,0.0,0,0,0
6,180.030031088542,2010-08-31 13:32:46,60.01546716547395,2,1,0.5499359965324402,3.7782645225524902,0.009171084108023,0.0,0.034570280138148,0.0,9.713172767078504e-05,0.0,0,0,0
7,210.04547915063523,2010-08-31 13:33:16,90.03091525262963,2,1,0.550297200679779,3.7819879055023193,0.013757904201652,0.0,0.051910310888784,0.0,6.47544875391759e-05,0.0,0,0,0
8,240.06037155786555,2010-08-31 13:33:46,120.0458076347975,2,1,0.5501165986061096,3.784254312515259,0.018344556686806,0.0,0.069262616978363,0.0,6.47544875391759e-05,0.0,0,0,0
9,270.0755573613296,2010-08-31 13:34:16,150.060993443274,2,1,0.5501165986061096,3.7861969470977783,0.02293126292704,0.0,0.086624727420213,0.0,6.47544875391759e-05,0.0,0,0,0
10,300.09058750183357,2010-08-31 13:34:46,180.07602358377804,2,1,0.5501165986061096,3.787977695465088,0.02751794629285,0.0,0.103995466511036,0.0,0.0,0.0,0,0,0
