Cycle_Index,Test_Time(s),Date_Time,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Internal_Resistance(Ohm),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Charge_Time(s),DisCharge_Time(s),Vmax_On_Cycle(V)
1,11420.991397431688,2010-11-16 14:55:19,0.0001613661734154448,3.3275747299194336,0.961548770767597,0.995719875020912,3.854846805238234,3.639495225495316,0.09230511635541916,0,0,7800.885278741272,3260.0435773705913,4.200138568878174
2,22995.500692412657,2010-11-16 18:08:14,0.0003419754502829164,3.338421106338501,1.959077152420728,1.989275456557226,7.832826212427654,7.269449819017849,0.09294687956571579,0,0,7961.681105386607,3252.7467997700983,4.200138568878174
3,34553.005624776204,2010-11-16 21:20:53,0.0005225847125984728,3.324984550476074,2.952031963134989,2.98416903234966,11.794548840553276,10.90340535397686,0.09303076565265656,0,0,7940.149837581781,3257.2782072709124,4.200138568878174
4,46094.78981372096,2010-11-17 00:33:16,0.0007031940040178597,3.3031299114227295,3.94844404235464,3.985434775194384,15.76602719558981,14.571026780167909,0.09141284227371216,0,0,7903.868059494162,3277.8317040847232,4.200138568878174
5,57666.8544346888,2010-11-17 03:46:09,0.0008838032954372466,3.297787666320801,4.949675867348883,4.988073071966304,19.7543196625638,18.244743320950672,0.09076771885156631,0,0,7929.592557570056,3282.3962497908205,4.200138568878174
6,69256.36931434604,2010-11-17 06:59:20,0.0007031940040178597,3.3324313163757324,5.950544614928143,5.982932515597523,23.740594311658544,21.87810853608759,0.09328334033489227,0,0,7972.275062029069,3257.170227098769,4.200138568878174
7,80834.15442708721,2010-11-17 10:12:19,0.0008838032954372466,3.3317837715148926,6.944324469498689,6.976373990513908,27.70573898236072,25.50424419773812,0.09311480820178986,0,0,7965.135492670745,3252.574834123003,4.200138568878174
8,92392.8089048554,2010-11-17 13:24:59,0.0005225847125984728,3.326765298843384,7.937719684987755,7.970361961741968,31.66891070495002,29.133944535925227,0.0923885703086853,0,0,7944.29192782715,3254.294085442163,4.200138568878174
9,103957.12987274294,2010-11-17 16:37:44,0.0005225847125984728,3.325632095336914,8.931260748619597,8.96380790099551,35.6325669053029,32.761346901394134,0.09392450004816055,0,0,7951.682697671057,3252.55947118076,4.200138568878174
10,115525.57929080832,2010-11-17 19:50:34,0.0005225847125984728,3.3311362266540527,9.923833296422544,9.955122617047932,39.592955042242835,36.3777624524737,0.09400942176580429,0,0,7962.743039995335,3245.6377080847856,4.200138568878174
11,127074.5064101514,2010-11-17 23:03:04,0.0005225847125984728,3.296330690383911,10.915656756985909,10.952747702256993,43.551753565086955,40.027708227103346,0.09303076565265656,0,0,7922.857010004864,3265.98652245146,4.200138568878174
12,138635.31313843193,2010-11-18 02:15:46,0.0008838032954372466,3.291959762573242,11.913420345920768,11.951449621706884,47.52777897043515,43.68344932158639,0.09294687956571579,0,0,7931.213679513443,3269.4883199395317,4.200138568878174
13,150179.69166180876,2010-11-18 05:28:12,0.0003419754502829164,3.309767246246338,12.911873699696246,12.94700493163716,51.50569795095588,47.32566344146747,0.09545765817165375,0,0,7925.013253135864,3259.2374823361683,4.200138568878174
14,161749.39295547875,2010-11-18 08:41:02,0.0007031940040178597,3.3353452682495117,13.90486723658943,13.93511188580854,55.46767935381769,50.927425897019745,0.09481984376907349,0,0,7974.446847918699,3235.1678522590128,4.200138568878174
15,173295.78310357188,2010-11-18 11:53:30,0.0007031940040178597,3.3248226642608643,14.89256140968037,14.924061474028106,59.41196034420846,54.534843599643885,0.09464868903160095,0,0,7948.412882762862,3237.868687451263,4.200138568878174
16,184829.21135555187,2010-11-18 15:05:45,0.0003419754502829164,3.3227181434631348,15.881373545228112,15.912878295597665,63.35792888984633,58.14276106563097,0.09473419934511185,0,0,7935.980968251153,3237.3719704072173,4.200138568878174
17,196389.71269158757,2010-11-18 18:18:26,0.0007031940040178597,3.3525049686431885,16.867904008898126,16.893835479771933,67.29679468706355,61.710319684125146,0.09400942176580429,0,0,7988.457395783231,3211.96193714579,4.200138568878174
18,207972.1075289441,2010-11-18 21:31:30,0.0003419754502829164,3.3353452682495117,17.84742656281498,17.875514377043235,71.21511463979365,65.28044329374005,0.09409449994564056,0,0,8007.9973854850205,3214.3218064563034,4.200138568878174
19,219471.34284004828,2010-11-19 00:43:10,0.0007031940040178597,3.3063676357269287,18.83157318654229,18.864779910115097,75.14468565879463,68.89430122692492,0.09464868903160095,0,0,7900.434202144096,3238.735058921051,4.200138568878174
20,230990.627869048,2010-11-19 03:55:11,0.0007031940040178597,3.3021585941314697,19.821061800339905,19.85510638421283,79.09141609355221,72.51429563693162,0.09311480820178986,0,0,7917.03553824951,3242.1735148920357,4.200138568878174
21,242533.074632485,2010-11-19 07:07:34,0.0001613661734154448,3.347162961959839,20.808415222954068,20.834327176318087,83.02910841879768,76.07670601346854,0.09400942176580429,0,0,7976.263454003882,3206.102746855572,4.200138568878174
22,254089.37660408788,2010-11-19 10:20:12,0.0005225847125984728,3.3656177520751953,21.785484510772157,21.80756597490904,86.93813403795335,79.60892591241448,0.0931989923119545,0,0,8009.6063099799185,3186.617349629062,4.200138568878174
23,265619.7472715971,2010-11-19 13:32:24,0.0005225847125984728,3.366589069366455,22.758525098333045,22.77966373427296,90.83278121074527,83.13705153978344,0.09464868903160095,0,0,7987.450419421788,3182.8345750920325,4.200138568878174
