Cycle_Index,Test_Time(s),Date_Time,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Internal_Resistance(Ohm),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Charge_Time(s),DisCharge_Time(s),Vmax_On_Cycle(V)
1,11598.425681845596,2010-10-22 16:36:44,0.0008838032954372466,3.3892531394958496,0.971345763613173,0.976536613839718,3.898704587650453,3.543028409263183,0.0931989923119545,0,0,8040.448003935274,3197.854314549424,4.200138568878174
2,23211.56801769148,2010-10-22 19:50:19,0.0007031940040178597,3.3866629600524902,1.947683965303797,1.951855740556913,7.809339066936984,7.081205267945023,0.09392450004816055,0,0,8059.2437230746655,3193.822603943212,4.200138568878174
3,34759.44016011824,2010-10-22 23:02:48,0.0007031940040178597,3.347324848175049,2.924969662592778,2.936636302429659,11.720661485772364,10.668778501403535,0.0923885703086853,0,0,7963.2655320260765,3224.5284196800826,4.200138568878174
4,46333.76611407867,2010-10-23 02:15:43,0.0007031940040178597,3.34198260307312,3.909995376635174,3.92276985629133,15.65722962997546,14.263923919582586,0.09303076565265656,0,0,7985.31549342076,3228.935786937869,4.200138568878174
5,57904.51906599837,2010-10-23 05:28:36,0.0007031940040178597,3.3411731719970703,4.896167950861531,4.909110076552116,19.59721817459779,17.860546408333036,0.09157814085483551,0,0,7981.272584789272,3229.404572222149,4.200138568878174
6,69470.26922047627,2010-10-23 08:41:22,0.0005225847125984728,3.3403637409210205,5.882462694930848,5.895533684041169,23.53727328480911,21.45785320133663,0.09076771885156631,0,0,7976.130893863056,3229.5450641266807,4.200138568878174
7,81028.93953375294,2010-10-23 11:54:02,0.0007031940040178597,3.3393924236297607,6.868766124366649,6.882047436603524,27.47699304464583,25.056260678275297,0.09303076565265656,0,0,7968.506448132412,3230.07734309398,4.200138568878174
8,92581.11498082035,2010-10-23 15:06:36,0.0005225847125984728,3.3316218852996826,7.855510088963383,7.870437003067663,31.417638908166396,28.664636240732538,0.09076771885156631,0,0,7955.929960840777,3236.171573664084,4.200138568878174
9,104128.45648429368,2010-10-23 18:19:04,0.0007031940040178597,3.329193592071533,8.843744378850856,8.859237805017356,35.36290437690344,32.27537349151932,0.09149541705846786,0,0,7949.7592335448035,3237.4998380258985,4.200138568878174
10,115673.20234559788,2010-10-23 21:31:30,0.0003419754502829164,3.3274128437042236,9.832477960294778,9.848379370459378,39.30954944495187,35.88801628658801,0.09003870189189911,0,0,7946.150945164515,3238.5319759848753,4.200138568878174
11,127219.28532898516,2010-10-24 00:43:58,0.0007031940040178597,3.3272509574890137,10.82155406221881,10.83769639032977,43.25711766992801,39.501860711440315,0.09068572521209717,0,0,7946.902073741567,3239.110133754013,4.200138568878174
12,138764.47593154467,2010-10-24 03:56:24,0.0007031940040178597,3.326279640197754,11.810747917251152,11.82717238329214,47.20489105085994,43.116629771599655,0.09149541705846786,0,0,7945.434309319906,3239.6415393277157,4.200300693511963
13,150302.4192665693,2010-10-24 07:08:43,0.0003419754502829164,3.325308322906494,12.800005494068683,12.816763640349324,51.152630221014746,46.73220366003101,0.09149541705846786,0,0,7937.919295601474,3239.969849930417,4.200138568878174
14,161835.2478395917,2010-10-24 10:20:57,0.0007031940040178597,3.3246607780456543,13.7893814868521,13.806400957205442,55.10053141071655,50.34829961477046,0.09068572521209717,0,0,7932.622811189045,3240.1108433743775,4.200138568878174
15,173370.71652103894,2010-10-24 13:33:14,0.0008838032954372466,3.3236894607543945,14.778899482709528,14.796240139384972,59.0488062762425,53.96559739867294,0.09149541705846786,0,0,7934.639017539115,3240.7674607780064,4.200138568878174
16,184898.5568241893,2010-10-24 16:45:23,0.0005225847125984728,3.321908712387085,15.768430572171065,15.786294701196542,62.996713681447325,57.58417211499962,0.09003870189189911,0,0,7926.546282704141,3241.252622538798,4.200138568878174
17,196419.39104178615,2010-10-24 19:57:25,0.0003419754502829164,3.3199660778045654,16.75839494908892,16.776828695642642,66.9459119858252,61.205438146595576,0.09141284227371216,0,0,7918.078962277275,3242.689864100047,4.200138568878174
18,207944.97315396217,2010-10-24 23:09:32,0.0005225847125984728,3.321099281311035,17.74860361044162,17.767042822315744,70.89577575155235,64.8251881774993,0.09141284227371216,0,0,7923.766809242296,3241.736589428067,4.200138568878174
19,219464.48453017863,2010-10-25 02:21:33,0.0001613661734154448,3.3202898502349854,18.73851018850708,18.75727636552167,74.84439834274691,68.44514610768351,0.09222180396318436,0,0,7917.642392249797,3241.7837496173624,4.200138568878174
20,230922.7239517782,2010-10-25 05:32:32,0.0003419754502829164,3.366912841796875,19.726233914847622,19.73537657393973,78.78368378108549,72.00309694407385,0.0923885703086853,0,0,7895.687564186111,3202.4647641790857,4.200138568878174
21,242452.0297351284,2010-10-25 08:44:43,0.0005225847125984728,3.379701852798462,20.702566605089995,20.70839391813557,82.6899134361998,75.5357780784117,0.09230511635541916,0,0,7983.498365860029,3185.7145324983703,4.200138568878174
22,253958.91359934505,2010-10-25 11:56:31,0.0005225847125984728,3.3740358352661133,21.675217539314296,21.681726169266824,86.58324881670715,79.07055397480302,0.09447815269231796,0,0,7959.779263949908,3187.0269753537314,4.200138568878174
23,265472.28286686406,2010-10-25 15:08:25,0.0003419754502829164,3.3730645179748535,22.648294892331823,22.65479768865461,90.4781065169469,82.60461142243025,0.09528566151857376,0,0,7967.122844824215,3186.1209878302507,4.200138568878174
24,276974.7919546065,2010-10-25 18:20:09,0.0003419754502829164,3.3782448768615723,23.62071402028265,23.625954393803855,94.37050863107088,86.12897736441441,0.09400942176580429,0,0,7962.560315419531,3179.8704426820814,4.200138568878174
25,288542.0346146335,2010-10-25 21:32:58,0.0003419754502829164,3.34214448928833,24.592631995830736,24.60517950082591,98.26321052312973,89.69530149488632,0.09230511635541916,0,0,8001.109445826819,3206.0301534660084,4.200138568878174
26,300054.974517671,2010-10-26 00:44:52,0.0005225847125984728,3.333564519882202,25.573053216690308,25.587948732949695,102.18071392255264,93.2800022939051,0.09222180396318436,0,0,7935.383295085972,3217.516337335692,4.200138568878174
27,308831.479904569,2010-10-26 03:11:10,0.0005225847125984728,3.3233656883239746,26.427283975331463,26.447972948726427,105.56569835409412,96.38990005772524,0.09157814085483551,0,0,5600.7483520389405,2815.6935931182934,4.200138568878174
28,320429.6235585218,2010-10-26 06:24:29,0.0001613661734154448,3.371283769607544,27.4128781612667,27.420738448085977,109.50201927970492,99.9240183588875,0.09311480820178986,0,0,8052.909811017472,3185.1526842774756,4.200138568878174
29,331965.3245153441,2010-10-26 09:36:46,0.0005225847125984728,3.375816583633423,28.385094233081745,28.391378368736145,113.39483724098264,103.4473479016491,0.09157814085483551,0,0,7997.449742154175,3178.1992619509565,4.200138568878174
30,343471.95426703314,2010-10-26 12:48:34,0.0008838032954372466,3.371769428253174,29.356002169499412,29.363010373183823,117.28201655371672,106.97623415704912,0.09311480820178986,0,0,7964.859321008509,3181.7143740241063,4.200300693511963
